well_id,X_m,Y_m,T_m2/s,measurement_method
P1,7.3453619070282,-3.18257956448912,6.60E-04,lab_test
P2,25.6656541761734,35.1758793969849,7.00E-05,lab_test
A3,11.3411066474433,6.03015075376882,2.09E-05,slug_test
B2,17.6884422110553,8.20770519262979,1.34E-05,slug_test
B3,13.5070897663807,10.0502512562814,1.69E-05,slug_test
B4,9.99286124214387,12.7303182579564,8.76E-06,slug_test
C1,23.1981635195476,11.5577889447236,4.28E-06,slug_test
C2,20.0195965901933,13.4003350083752,3.35E-05,slug_test
C3,16.1725059839588,15.2428810720268,8.03E-05,slug_test
C4,12.1580045072157,17.2529313232831,6.64E-05,slug_test
C5,8.97971752914993,18.92797319933,1.96E-05,slug_test
D2,22.5173219859745,18.92797319933,1.13E-06,slug_test
D3,19.0042132668915,20.9380234505863,3.66E-05,slug_test
D4,14.9902716927255,22.6130653266332,9.17E-05,slug_test
E3,21.1687966293865,25.7956448911223,1.53E-05,slug_test
