well no new,x,y,Z_m,K_m/d,Hw (aquifer thickness)
1,603040.889,2513592.224,,5.5,55
2,603102.09,2513635.069,,6.2,70
3,603022.529,2513487.843,,5.9,64
4,603083.643,2513530.67,,9,75
5,603145.268,2513574.082,,7.4,75
6,603207.415,2513616.63,,5.6,55
7,603003.664,2513383.335,,2.1,12
8,603065.112,2513426.615,,8,79
9,603188.365,2513512.447,,5.2,69
10,603249.679,2513555.454,,7.1,56
11,603311.034,2513598.582,,0.1,14
12,603372.659,2513641.383,,0.5,11
13,603271.198,2513524.575,,6.5,60
14,603301.893,2513546.228,,2.8,35
15,603332.81,2513567.809,,3.4,25
16,603046.943,2513321.879,,4.1,50
17,603108.471,2513364.756,,7.1,70
18,603170.116,2513407.994,,8.7,70
19,603231.034,2513451.08,,7.6,72
20,603292.656,2513494.002,,6.2,60
21,603323.372,2513515.55,,1.3,36
22,603353.966,2513536.999,,0.3,35
23,603415.525,2513579.997,,2.6,22
24,603314.209,2513463.235,,6.3,53
25,603345.321,2513485.194,,5.8,43
26,603375.644,2513506.286,,1.9,37
27,603151.745,2513303.697,,2.4,48
28,603222.771560001,2513353.05578,,8.5,75
29,603274.167,2513389.514,,3.2,29
30,603335.92,2513432.34,,7.8,52
31,603397.099,2513475.542,,3.1,31
32,603458.669,2513518.42,,4.4,23
33,603188.858,2513227.545,,5.9,65
34,603255.753,2513285.21,,8.3,75
35,603317.172,2513328.073,,9.4,65
36,603378.789,2513371.174,,6.2,58
37,603440.296,2513414.237,,7.3,46
38,603237.316,2513180.756,,6.1,77
39,603298.772,2513223.621,,9.2,70
40,603360.121,2513266.648,,8.5,65
41,603421.831,2513309.612,,5.7,63
42,603483.287,2513352.747,,5.4,55
43,603544.506,2513395.641,,0.2,34
44,603606.151,2513438.689,,2.8,16
45,603342.084,2513162.264,,8.4,68
46,603587.705,2513334.416,,4.3,27
47,603333.758,2513065.042,,7,61
48,603364.572,2513086.367,,6.4,72
49,603384.99,2513100.722,,8.6,77
50,603405.741,2513115.013,,8.9,81
51,603425.68,2513129.357,,5.2,64
52,603446.534,2513143.683,,4.2,52
53,603467.044,2513158.202,,9,71
54,603487.489,2513172.595,,8.5,103
55,603507.194,2513186.941,,7.7,60
56,603528.21,2513200.809,,6.1,68
57,603548.711,2513215.587,,6,73
58,603569.315,2513229.751,,8.8,80
59,603630.605,2513273.017,,1.2,14
60,603379.1,2513065.949,,7.6,67
61,603419.911,2513094.548,,8.9,70
62,603440.029,2513109.059,,7.5,63
63,603461.149,2513123.482,,5.5,62
64,603481.202,2513137.475,,8.4,70
65,603501.94,2513152.483,,8.2,70
66,603521.955,2513166.343,,5.4,65
67,603543.51,2513181.084,,5.7,68
68,603562.541,2513194.927,,6.2,70
69,603413.709,2513059.98,,5.8,66
70,603434.083,2513073.858,,6.3,67
71,603454.783,2513088.362,,5.3,63
72,603474.969,2513102.851,,7.2,64
73,603495.551,2513117.292,,6.9,66
74,603515.782,2513131.412,,7.1,67
75,603536.337,2513145.899,,6.8,65
76,603557.086,2513160.198,,5.2,65
77,603468.754,2513067.948,,6.4,66
78,603489.076,2513082.776,,7.3,63
79,603510.381,2513096.973,,6.2,67
80,603530.424,2513111.201,,7.6,68
81,603550.952,2513125.153,,6.2,65
82,603571.192,2513139.518,,5.6,58
83,603612.177,2513168.41,,7.2,55
,602900,2512900,,6,58
,603700,2513700,,1.8,19
