id,X_m,Y_m,Z_m,Hydraulic_conductivity_m/d
IFP1 ,229998.674,1900223.371,,7.37301000853511E-06
IFP1/1,229990.933,1900199.117,,2.1E-06
IFP1/2,229999.0394,1900251.286,,2.74E-06
IFP1/3,229953.7632,1900238.81,,4.38E-07
IFP1/5,230029,1900221,,2.87E-06
IFP1/6,230015,1900223,,3.07E-06
IFP1/7,230018,1900226,,3.91E-06
IFP1/9,230007,1900214,,5.96E-06
IFP10 ,223969.5058,1896428.697,,6.40136583416597E-06
IFP11 ,226176.4301,1894565.524,,1.87869254795235E-05
IFP11/3,226157.5201,1894561.021,,5E-06
IFP12 ,226498.2751,1893243.673,,3.62905831430603E-06
IFP13 ,228394.0787,1895710.717,,1.95962864009502E-06
IFP14 ,228060.1401,1895248.189,,1.00461420873839E-05
IFP15 ,228058.9743,1894724.855,,7.30990613387498E-05
IFP16 ,228670.6496,1893628.551,,6.21856724333396E-05
IFP17 ,229070.5331,1894153.789,,6.46153827950285E-06
IFP18 ,229221.1881,1895844.817,,2.8736680797081E-05
IFP2 ,228829.2614,1898883.705,,1.8640482268041E-07
IFP20 ,230314.6217,1897655.989,,1.52213762069634E-05
IFP21 ,230910.2065,1898394.324,,7.85040797712071E-05
IFP22 ,231278.641,1899146.319,,1.09022574480434E-06
IFP23 ,231862,1899287,,8.84950169096055E-07
IFP24 ,231068,1897729,,1.03472090137257E-05
IFP27,225868,1894750,,6.55E-06
IFP27/1,225860.939,1894720.057,,1.45E-06
IFP27/2,225859.244,1894723.247,,1.35E-06
IFP27/3,225851.044,1894732.621,,5.16E-06
IFP27/4,225939.786,1894738.768,,2.58E-05
IFP27/5,225880.084,1894700.771,,2.13E-05
IFP27/6,225840.473,1894682.576,,1.31E-05
IFP3 ,227864.6481,1897623.957,,2.04527550161531E-06
IFP4 ,227601.5752,1896990.609,,6.71868259883023E-07
IFP6 ,226864.4382,1896920.735,,3.41818796608621E-05
IFP7 ,226558.5826,1898970.087,,0.000514510101945
IFP8 ,226753.5249,1898164.947,,2.61352711593092E-05
IFP9 ,224735.4007,1897796.696,,3.75533856260538E-05
IFP9/2,224719,1897836,,9.07E-06
MW2,226092,1897191,,1.45E-05
OB1-1,225775,1897347,,0.000179
OB1-2,225787,1897303,,1.01E-05
