East UTM km,North UTM km,T m2/d
759.5,3184.85,298
762.475,3240.525,443
762.898,3241.918,590
752.25,3203.025,298
751.45,3242.45,254
759.763,3234.237,443
745.354,3242,447
762.513,3221.43,254
730,3218.5,394
747.425,3202.2,590
742.85,3212,298
751.15,3204.675,537
749.762,3254.666,362
744.3,3211,589
727.5,3240,246
740.2,3214,298
746.46,3207.64,524
757.3,3181.3,537
759.535,3240.465,466
756.491,3245.806,522
717.669,3249.542,1163
755.325,3246.475,248
755.6,3184.4,596
758.878,3242.721,731
756.2,3189.85,562
763.978,3233,268
754.7,3254,590
750,3232.5,149
725,3245,259
756.85,3193,472
731,3216,1059
760.312,3221.424,522
757.481,3226.518,432
756.225,3208.45,373
760,3243,656
759.279,3237.004,559
753.375,3201.325,281
745.375,3209.325,571
757.775,3194.775,472
732,3221,492
720,3247.5,582
760.116,3238.021,611
727.5,3250,328
717.848,3249.35,980
751.399,3245.825,224
752.152,3253.401,276
748.285,3254.355,341
752,3244.85,354
722.5,3250,492
749.9,3239.8,313
744.35,3243.1,135
725,3240,303
763.8,3241,369
757.8,3183.5,373
761.68,3243.12,422
722.5,3240,447
705,3281,518
717.94,3250.975,969
759.94,3241.66,1044
749.85,3202.625,473
741.9,3210.575,514
736.25,3214.3,492
734,3218.5,529
748.5,3200.55,537
730,3247.5,160
730,3240,197
752.688,3220.01,261
729.901,3249.304,492
717.5,3245,579
757.75,3250.574,173
728,3221,412
755,3186.35,559
758.65,3189.25,738
737.5,3217.5,746
758.525,3235.475,246
748.49,3253.17,261
809.844,3163.5,292
720,3240,176
747.385,3253.755,466
757.55,3190.95,447
747.65,3205.95,336
755.8,3201.825,239
807.666,3172.917,250
746.915,3242.781,261
717.5,3242.5,274
748,3245,298
749.31,3253.812,522
677.907,3249.457,436
697.52,3261.24,233
807,3162,300
754.215,3248.19,300
754.475,3199.7,472
749.6,3198.875,455
725,3247.5,352
754.7,3203.5,119
754.559,3249.537,316
722.5,3247.5,418
762.299,3242.5,148
761.061,3241.939,932
759.1,3196.8,173
754.23,3245.477,317
742,3214,343
717.5,3247.5,352
745.225,3205.56,590
753.6,3205.175,119
763.889,3239.111,264
750.19,3245.9,276
746.05,3254.221,507
755.2,3249,295
761.17,3235.83,306
748.415,3247.775,200
762.335,3237.665,206
757.428,3236.571,369
752.9,3193.9,422
743.9,3214,104
753.688,3253.059,239
755.3,3182.4,775
750.595,3253.312,224
728.5,3218.5,510
756.8,3187.825,537
757.5,3185.95,1073
760.935,3239.065,422
763.585,3226.45,422
754.593,3227.406,209
722.5,3242.5,164
734,3221,358
765.8,3237.2,288
756.695,3243.305,415
752.05,3199.275,190
739,3212.2,447
798.083,3161.833,150
751.8,3195.55,473
755.35,3194.276,710
737,3216,725
717,3250,820
753.218,3247.37,198
750.654,3249,198
751.047,3253.98,228
757.729,3244.803,295
750.7,3197.225,295
758.85,3193,336
748.95,3208.05,492
747.4,3254.85,466
750.05,3206.35,437
755.235,3244.54,291
761,3240.6,422
754,3192.2,760
720,3245,492
730,3245,82
727.5,3247.5,107
720,3242.5,151
746.5,3245.5,394
749.595,3252.85,295
750.7,3252,276
750.95,3200.95,148
758.349,3251.625,173
753,3245.85,251
748.48,3243.565,385
752.306,3246.62,206
755.5,3198.05,337
756.59,3244.56,205
737,3212.45,447
766,3233,220
735,3212.7,283
730,3221,415
745,3245,149
741.6,3211.95,656
750,3244.61,441
714.2,3224.2,80
761,3233,185
751,3243.85,297
817.5,3164.1,400
756.312,3227.514,295
729.901,3249.354,328
756.9,3200.15,186
752.5,3243.5,206
725,3250,283
727.5,3242.5,224
751.25,3246.82,128
727.5,3245,141
752.5,3206.85,186
758.831,3243.936,422
754.275,3195.95,492
755,3180.4,656
756.6,3196.35,695
765,3235,295
748.7,3204.2,403
700.999,3250,61
684.289,3264.844,78
754.55,3188.225,622
756,3220,395
722.5,3245,141
747,3225.5,373
752.2,3247.66,155
749.48,3248.84,163
720,3250,394
743.075,3208.905,455
744.335,3243.055,119
753.5,3244.5,354
757.79,3243.475,349
722.5,3217.5,492
732,3218.5,382
751.705,3251.01,388
758.9,3187.5,118
753.2,3248.54,154
735,3220,118
744.325,3207.375,671
746.325,3203.9,695
747.34,3246.72,369
754.05,3190.225,701
753.15,3197.625,369
735,3216,765
738.25,3214.05,388
751.7,3252.547,349
733,3216,1252
760.605,3244.165,443
