Well ID,S,T_m2/s,K_m/s,SPC-N,SPC-E
10-03,0.129,1.37E-06,4.79E-07,505974,591983
10-04,0.00255,2.05E-06,7.47E-07,506998,590506
10-05,0.19,9.24E-06,3.25E-06,507946,591099
10-06,3.4E-07,1.13E-05,4.01E-06,507411,592396
10-07,1E-10,1.46E-05,5.24E-06,507507,592081
10-08,4.24E-10,1.61E-05,5.77E-06,507517,592053
10-09,1E-10,2.6E-06,8.83E-07,506495,591330
10-10,1E-10,4.77E-06,1.69E-06,506436,591350
10-11,8.11E-05,1.88E-06,6.76E-07,507782,591418
10-15,1.8E-10,3.58E-05,1.29E-05,506057,592168
10-16,0.000138,4.83E-06,1.73E-06,507012,592462
10-17,0.00301,7.13E-06,2.55E-06,507685,592340
10-18,0.00811,5.41E-06,1.97E-06,507703,592280
10-19,1.37E-07,1.67E-06,5.96E-07,507465,592221
10-20,0.00167,3.56E-06,1.28E-06,507572,591913
10-22,0.00256,2.61E-07,9.32E-08,506734,590900
10C23,1E-10,1.46E-06,4.8E-07,507000,590497
10C24,0.000212,1.03E-05,3.39E-06,506859,590851
10C25,1E-10,1.49E-05,4.9E-06,506716,591225
10C26,1E-10,3.15E-06,2.07E-06,506562,591588
10C27,1E-10,5.71E-05,1.87E-05,506397,591953
10C28,9.89E-06,3.18E-06,1.04E-06,506751,592125
10C29,1E-10,5.82E-05,1.91E-05,507126,592259
10C30,3.04E-09,7.72E-06,2.53E-06,507197,591027
10C31,1E-10,0.000349,0.000115,507206,591410
10C32,0.005,7.11E-05,2.33E-05,506914,591736
10C33,0.000636,1.16E-06,3.8E-07,507276,591891
10C34,1E-10,0.000136,4.45E-05,507432,591527
10C35,5E-05,3.01E-05,9.87E-06,507582,591148
10C36,2.62E-07,8.17E-05,2.68E-05,507374,590603
10C37,1E-10,6.14E-06,2.01E-06,507161,590080
10C38,1E-10,8.28E-05,2.72E-05,506730,589990
10C39,1E-10,5.58E-06,1.83E-06,507748,590726
10C41,0.126,4.35E-07,1.43E-07,506619,590363
10C42,0.0639,2.17E-06,7.11E-07,506504,590688
10C43,3.72E-06,2.38E-05,7.8E-06,506081,591721
10C44,1E-05,4.06E-06,1.33E-06,506224,591403
10C45,0.331,4.62E-06,1.52E-06,506374,591067
10C46,1E-10,0.000156,5.1E-05,507957,591300
10C47,2.39E-09,1.43E-05,4.7E-06,507839,591679
10C48,6.25E-07,5.14E-05,1.69E-05,507678,592051
10C49,0.000508,1.45E-05,4.77E-06,507520,592384
10C50,1E-10,4.39E-05,1.44E-05,507091,592479
10C51,0.393,7.88E-07,2.59E-07,507389,592651
10C52,1E-10,4.3E-05,1.41E-05,505981,591990
10C53,0.00398,2.3E-07,7.54E-08,506293,592231
10C54,0.00182,2.1E-06,6.87E-07,506649,592374
10C55,0.00297,6.98E-06,2.29E-06,507586,592231
10C56,0.0292,1.1E-06,3.62E-07,507976,592512
10C57,0.005,6.78E-09,2.23E-09,507831,592633
